# Date,Receipt_Count
2021-01-01,7564766
2021-01-02,7455524
2021-01-03,7095414
2021-01-04,7666163
2021-01-05,7771289
2021-01-06,7473320
2021-01-07,7832624
2021-01-08,7765028
2021-01-09,7385245
2021-01-10,7392087
2021-01-11,7738899
2021-01-12,7840830
2021-01-13,8122546
2021-01-14,7694195
2021-01-15,7200595
2021-01-16,7744470
2021-01-17,7610648
2021-01-18,7880913
2021-01-19,7250032
2021-01-20,7666397
2021-01-21,7742477
2021-01-22,7807438
2021-01-23,7603625
2021-01-24,7572947
2021-01-25,7598153
2021-01-26,7194687
2021-01-27,7787109
2021-01-28,7631075
2021-01-29,7750536
2021-01-30,8059526
2021-01-31,7838129
2021-02-01,7714465
2021-02-02,7766408
2021-02-03,7832259
2021-02-04,7506461
2021-02-05,7816477
2021-02-06,7360372
2021-02-07,8039414
2021-02-08,7858632
2021-02-09,7810951
2021-02-10,7579882
2021-02-11,8127696
2021-02-12,7748085
2021-02-13,8117805
2021-02-14,7780006
2021-02-15,7916028
2021-02-16,7736671
2021-02-17,8082781
2021-02-18,7824063
2021-02-19,7761256
2021-02-20,7821879
2021-02-21,7760399
2021-02-22,8330147
2021-02-23,8053953
2021-02-24,7816117
2021-02-25,8156649
2021-02-26,7857443
2021-02-27,7881212
2021-02-28,7975949
2021-03-01,7970632
2021-03-02,7998865
2021-03-03,7748662
2021-03-04,8080043
2021-03-05,7971011
2021-03-06,8309959
2021-03-07,7945271
2021-03-08,8352635
2021-03-09,7861647
2021-03-10,7920726
2021-03-11,7921232
2021-03-12,8142874
2021-03-13,7731725
2021-03-14,8070687
2021-03-15,7825047
2021-03-16,7920469
2021-03-17,7946897
2021-03-18,8090998
2021-03-19,8415152
2021-03-20,8325436
2021-03-21,8105278
2021-03-22,7562433
2021-03-23,8096085
2021-03-24,8034268
2021-03-25,8050876
2021-03-26,8077321
2021-03-27,7999117
2021-03-28,8082481
2021-03-29,8126444
2021-03-30,7911341
2021-03-31,8013013
2021-04-01,8353242
2021-04-02,8042185
2021-04-03,8401675
2021-04-04,8134408
2021-04-05,8422480
2021-04-06,8140096
2021-04-07,8385138
2021-04-08,8619576
2021-04-09,7961949
2021-04-10,8388608
2021-04-11,8458290
2021-04-12,8206730
2021-04-13,8319338
2021-04-14,8726486
2021-04-15,8342572
2021-04-16,8438884
2021-04-17,8186918
2021-04-18,8195134
2021-04-19,8366630
2021-04-20,8282495
2021-04-21,8641338
2021-04-22,8521710
2021-04-23,8255078
2021-04-24,8221890
2021-04-25,8509398
2021-04-26,8055670
2021-04-27,8266410
2021-04-28,8367438
2021-04-29,8704248
2021-04-30,8728816
2021-05-01,8231674
2021-05-02,8278534
2021-05-03,8727522
2021-05-04,8649710
2021-05-05,8519563
2021-05-06,8435867
2021-05-07,8227322
2021-05-08,8383810
2021-05-09,8109287
2021-05-10,8518147
2021-05-11,8472640
2021-05-12,8359580
2021-05-13,8262562
2021-05-14,8503389
2021-05-15,8498352
2021-05-16,9066670
2021-05-17,8744235
2021-05-18,8688343
2021-05-19,8475700
2021-05-20,8471826
2021-05-21,9020316
2021-05-22,8399861
2021-05-23,8387758
2021-05-24,8637948
2021-05-25,8088783
2021-05-26,8148275
2021-05-27,8682340
2021-05-28,8879871
2021-05-29,8680501
2021-05-30,8083372
2021-05-31,8517990
2021-06-01,8491801
2021-06-02,9031534
2021-06-03,8319351
2021-06-04,8553246
2021-06-05,8534097
2021-06-06,8462584
2021-06-07,8691699
2021-06-08,8686964
2021-06-09,8550358
2021-06-10,8143101
2021-06-11,8645316
2021-06-12,8928652
2021-06-13,9082265
2021-06-14,8796515
2021-06-15,8629607
2021-06-16,8827278
2021-06-17,8946278
2021-06-18,8390857
2021-06-19,8782778
2021-06-20,8817338
2021-06-21,8543719
2021-06-22,8590990
2021-06-23,8774391
2021-06-24,8913737
2021-06-25,8665876
2021-06-26,8707038
2021-06-27,8869334
2021-06-28,9186579
2021-06-29,8372464
2021-06-30,8721093
2021-07-01,8704509
2021-07-02,8939614
2021-07-03,9267015
2021-07-04,8544557
2021-07-05,8735065
2021-07-06,8326629
2021-07-07,8831147
2021-07-08,8857992
2021-07-09,9160117
2021-07-10,8672036
2021-07-11,8670423
2021-07-12,8869283
2021-07-13,8686309
2021-07-14,8654144
2021-07-15,8860853
2021-07-16,9198488
2021-07-17,8960260
2021-07-18,9122667
2021-07-19,9138658
2021-07-20,8987305
2021-07-21,8899455
2021-07-22,9017914
2021-07-23,8480182
2021-07-24,8603099
2021-07-25,8636410
2021-07-26,8996817
2021-07-27,9024807
2021-07-28,9329236
2021-07-29,8979426
2021-07-30,8909272
2021-07-31,8712314
2021-08-01,8861903
2021-08-02,8913143
2021-08-03,9223398
2021-08-04,9410437
2021-08-05,9212329
2021-08-06,9062121
2021-08-07,9432522
2021-08-08,9111057
2021-08-09,8971236
2021-08-10,8799249
2021-08-11,9127038
2021-08-12,9362940
2021-08-13,9077857
2021-08-14,9413465
2021-08-15,8950079
2021-08-16,9215173
2021-08-17,9056307
2021-08-18,8968187
2021-08-19,9357610
2021-08-20,8971426
2021-08-21,9238276
2021-08-22,9372279
2021-08-23,9589375
2021-08-24,8961875
2021-08-25,9160096
2021-08-26,9052229
2021-08-27,8778271
2021-08-28,9245534
2021-08-29,9384023
2021-08-30,9474742
2021-08-31,9189054
2021-09-01,9167277
2021-09-02,9123056
2021-09-03,9251321
2021-09-04,9377700
2021-09-05,9782022
2021-09-06,8930331
2021-09-07,9718666
2021-09-08,9262001
2021-09-09,9095889
2021-09-10,9364629
2021-09-11,9508131
2021-09-12,9264013
2021-09-13,9461281
2021-09-14,9032235
2021-09-15,9574777
2021-09-16,9189740
2021-09-17,9508023
2021-09-18,9580631
2021-09-19,9697272
2021-09-20,9292315
2021-09-21,9090518
2021-09-22,9294810
2021-09-23,9400956
2021-09-24,9871832
2021-09-25,9569204
2021-09-26,9583588
2021-09-27,9412385
2021-09-28,9221235
2021-09-29,9328174
2021-09-30,9192142
2021-10-01,9432155
2021-10-02,9755500
2021-10-03,9562636
2021-10-04,9497084
2021-10-05,9656472
2021-10-06,9461320
2021-10-07,9363588
2021-10-08,9834844
2021-10-09,9113802
2021-10-10,9290592
2021-10-11,9282316
2021-10-12,9725761
2021-10-13,9449353
2021-10-14,9492895
2021-10-15,9599402
2021-10-16,9664876
2021-10-17,9702569
2021-10-18,9574962
2021-10-19,9540428
2021-10-20,9617606
2021-10-21,9509561
2021-10-22,9417190
2021-10-23,9748484
2021-10-24,9476970
2021-10-25,9373507
2021-10-26,9646801
2021-10-27,9635634
2021-10-28,9530612
2021-10-29,9627467
2021-10-30,9879362
2021-10-31,9501436
2021-11-01,9631220
2021-11-02,10004975
2021-11-03,9749567
2021-11-04,9925777
2021-11-05,9863408
2021-11-06,9933505
2021-11-07,9383028
2021-11-08,9607159
2021-11-09,9707735
2021-11-10,9691895
2021-11-11,9854091
2021-11-12,9695957
2021-11-13,10047149
2021-11-14,9845653
2021-11-15,9656831
2021-11-16,10285056
2021-11-17,9606579
2021-11-18,9928425
2021-11-19,9980182
2021-11-20,9915679
2021-11-21,9837099
2021-11-22,9608834
2021-11-23,9893666
2021-11-24,9897017
2021-11-25,10129048
2021-11-26,9828852
2021-11-27,10014982
2021-11-28,10057900
2021-11-29,10204676
2021-11-30,10299217
2021-12-01,9731627
2021-12-02,9674146
2021-12-03,9679469
2021-12-04,10060861
2021-12-05,9771507
2021-12-06,9726983
2021-12-07,10152789
2021-12-08,9961637
2021-12-09,9888931
2021-12-10,10016144
2021-12-11,10025271
2021-12-12,10013123
2021-12-13,10144930
2021-12-14,10246870
2021-12-15,9838107
2021-12-16,9845904
2021-12-17,10220516
2021-12-18,9835059
2021-12-19,9572522
2021-12-20,10379305
2021-12-21,9680446
2021-12-22,10124238
2021-12-23,9464659
2021-12-24,9703857
2021-12-25,10045897
2021-12-26,10738865
2021-12-27,10350408
2021-12-28,10219445
2021-12-29,10313337
2021-12-30,10310644
2021-12-31,10211187
